# timestamp estimated_time_lag buffer_size move_status
1624428127.72186399 0.570477 1 1
1624428127.82184911 0.570477 1 1
1624428127.92190003 0.570477 1 1
1624428128.02184463 0.570477 1 1
1624428128.07188821 0.570477 1 1
1624428128.22184277 0.570477 1 1
1624428128.27184248 0.570477 1 1
1624428128.42186189 0.570477 1 1
1624428128.5219717 0.570477 1 1
1624428128.62193227 0.570477 1 1
1624428128.72217464 0.570477 1 1
1624428128.77205634 0.570477 1 1
1624428128.92188263 0.570477 1 1
1624428128.9718132 0.570477 1 1
1624428129.07186627 0.570477 1 1
1624428129.2218318 0.570477 2 8
1624428129.27184701 0.570477 3 8
1624428129.42185402 0.570477 4 8
1624428129.52196455 0.570477 4 1
1624428129.62196803 0.570477 4 1
1624428129.72196841 0.570477 4 1
1624428129.77211833 0.570477 4 1
1624428129.92183518 0.570477 4 1
1624428130.02183604 0.570477 4 1
1624428130.07186508 0.570477 4 1
1624428130.22182751 0.570477 4 1
1624428130.27184319 0.570477 4 1
1624428130.42183876 0.570477 0 8
1624428130.52197957 0.570477 0 1
1624428130.62196493 0.570477 0 1
1624428130.72197056 0.570477 0 1
1624428130.77203894 0.570477 0 1
1624428130.9218328 0.570477 0 1
1624428130.97184014 0.570477 0 1
1624428131.07186437 0.570477 0 1
1624428131.22182941 0.570477 0 1
1624428131.27187252 0.570477 0 1
1624428131.37199879 0.570477 0 1
1624428131.52200556 0.570477 0 1
1624428131.57202792 0.570477 0 1
1624428131.67202425 0.570477 0 1
1624428131.77203274 0.570477 0 1
1624428131.92183685 0.570477 0 1
1624428131.97184563 0.570477 0 1
1624428132.07185268 0.570477 0 1
1624428132.1718452 0.570477 0 1
1624428132.27185059 0.570477 0 1
1624428132.42185545 0.570477 0 1
1624428132.47202659 0.570477 0 1
1624428132.62192178 0.570477 0 1
1624428132.67205381 0.570477 0 1
1624428132.77201867 0.570477 0 1
1624428132.87188864 0.570477 0 1
1624428132.9718473 0.570477 0 1
1624428133.07185888 0.570477 0 1
1624428133.22182775 0.570477 0 1
1624428133.27184701 0.570477 0 1
1624428133.37202454 0.570477 0 1
1624428133.52201962 0.570477 0 1
1624428133.62194276 0.570477 0 1
1624428133.67201948 0.570477 0 1
1624428133.77201581 0.570477 0 1
1624428133.87189341 0.570477 0 1
1624428133.97183943 0.570477 0 1
1624428134.07186246 0.570477 0 1
1624428134.22185707 0.570477 0 1
1624428134.27184796 0.570477 0 1
1624428134.4218936 0.570477 0 1
1624428134.52201152 0.570477 0 1
1624428134.57202458 0.570477 0 1
1624428134.67202282 0.570477 0 1
1624428134.77201438 0.570477 1 8
1624428134.87202787 0.570477 2 8
1624428134.971843 0.570477 3 8
1624428135.07186031 0.570477 4 8
1624428135.22182083 0.570477 4 1
1624428135.27185178 0.570477 4 1
1624428135.42197514 0.570477 4 1
1624428135.52200961 0.570477 4 1
1624428135.57204175 0.570477 4 1
1624428135.67203569 0.570477 4 1
1624428135.7720294 0.570477 4 1
1624428135.87197351 0.570477 4 1
1624428135.97184229 0.570477 4 1
1624428136.07185316 0.570477 4 1
1624428136.17184258 0.570477 4 1
1624428136.27184916 0.570477 4 1
1624428136.37199116 0.570477 4 1
1624428136.47185946 0.570477 4 1
1624428136.57203341 0.570477 4 1
1624428136.72200561 0.570477 4 1
1624428136.82185555 0.570477 4 1
1624428136.92187047 0.570477 4 1
1624428136.97184777 0.570477 4 1
1624428137.07186818 0.570477 4 1
1624428137.22181845 0.570477 4 1
1624428137.27186608 0.570477 4 1
1624428137.42186499 0.570477 4 1
1624428137.52220845 0.570477 4 1
1624428137.57193351 0.570477 4 1
1624428137.67246771 0.570477 4 1
1624428137.77212048 0.570477 4 1
1624428137.87184572 0.570477 4 1
1624428137.97194505 0.570477 4 1
1624428138.07191539 0.570477 4 1
1624428138.1718421 0.570477 4 1
1624428138.27196264 0.570477 4 1
1624428138.37199759 0.570477 4 1
1624428138.52196717 0.570477 4 0
1624428138.67202139 0.570477 4 0
1624428138.77201748 0.600379 0 8
1624428138.8718667 0.600379 0 1
1624428138.97183967 0.600379 1 8
1624428139.07194376 0.600379 2 8
1624428139.22184086 0.600379 3 8
1624428139.27191114 0.600379 4 8
1624428139.42183805 0.600379 4 1
1624428139.52258205 0.600379 4 1
1624428139.62189436 0.600379 4 1
1624428139.67203069 0.600379 4 1
1624428139.77203774 0.600379 4 1
1624428139.92183971 0.590063 0 8
1624428139.97184563 0.590063 1 8
1624428140.07187748 0.590063 2 8
1624428140.17184591 0.590063 3 8
1624428140.27184415 0.590063 4 8
1624428140.37206078 0.590063 0 8
1624428140.47202563 0.590063 1 8
1624428140.57203317 0.590063 2 8
1624428140.67202783 0.590063 3 8
1624428140.77218819 0.590063 4 8
1624428140.8718946 0.798814 0 8
1624428140.97184873 0.798814 1 8
1624428141.07187772 0.798814 2 8
1624428141.17185259 0.798814 3 8
1624428141.27188349 0.798814 4 8
1624428141.37201953 0.798814 0 8
1624428141.47202921 0.798814 1 8
1624428141.57203817 0.798814 2 8
1624428141.67202997 0.798814 2 1
1624428141.77202082 0.798814 3 8
1624428141.87196326 0.798814 3 1
1624428141.97184658 0.798814 3 1
1624428142.07188201 0.798814 4 8
1624428142.17184854 0.772219 0 8
1624428142.27189612 0.772219 1 8
1624428142.37210274 0.772219 2 8
1624428142.52197313 0.772219 3 8
1624428142.62194157 0.772219 4 8
1624428142.72197008 0.712083 0 8
1624428142.82194662 0.712083 1 8
1624428142.87191296 0.712083 2 8
1624428143.02184963 0.712083 3 8
1624428143.07186937 0.712083 4 8
1624428143.22185659 0.711906 0 8
1624428143.27184463 0.711906 1 8
1624428143.42187572 0.711906 2 8
1624428143.47201753 0.711906 3 8
1624428143.57204866 0.711906 3 1
1624428143.7219708 0.711906 3 1
1624428143.82184649 0.711906 3 1
1624428143.92183948 0.711906 3 1
1624428144.02183151 0.711906 4 8
1624428144.07185864 0.711906 0 8
1624428144.1718452 0.711906 1 8
1624428144.27184176 0.711906 2 8
1624428144.37187934 0.711906 3 8
1624428144.47185779 0.711906 4 8
1624428144.5720048 0.755862 0 8
1624428144.7219646 0.755862 1 8
1624428144.77204227 0.755862 2 8
1624428144.87189031 0.755862 2 1
1624428145.02185035 0.755862 2 1
1624428145.07188058 0.755862 2 1
1624428145.22185946 0.755862 3 8
1624428145.27186179 0.755862 4 8
1624428145.37216902 0.755862 4 1
1624428145.5223186 0.690184 0 8
1624428145.57203984 0.690184 1 8
1624428145.67203498 0.690184 1 1
1624428145.87193012 0.690184 1 1
1624428145.97183657 0.690184 1 1
